,sentence,table,location,month
103,there are 2 new confirmed cases in guinea in march.,new confirmed,guinea,march
104,there are 2 new cases in guinea in march.,new confirmed,guinea,march
105,there are 2 new confirmed cases in guinea .,new confirmed,guinea,march
106,there are 2 new cases in guinea .,new confirmed,guinea,march
107,there are 0 new confirmed cases in guyana in january.,new confirmed,guyana,january
108,there are 0 new cases in guyana in january.,new confirmed,guyana,january
109,there are 0 new confirmed cases in guyana in february.,new confirmed,guyana,february
110,there are 0 new cases in guyana in february.,new confirmed,guyana,february
111,there are 7 new confirmed cases in guyana in march.,new confirmed,guyana,march
112,there are 7 new cases in guyana in march.,new confirmed,guyana,march
113,there are 7 new confirmed cases in guyana .,new confirmed,guyana,march
114,there are 7 new cases in guyana .,new confirmed,guyana,march
115,there are 0 new confirmed cases in holy see in january.,new confirmed,holy see,january
116,there are 0 new cases in holy see in january.,new confirmed,holy see,january
117,there are 0 new confirmed cases in holy see in february.,new confirmed,holy see,february
118,there are 0 new cases in holy see in february.,new confirmed,holy see,february
119,there are 1 new confirmed cases in holy see in march.,new confirmed,holy see,march
120,there are 1 new cases in holy see in march.,new confirmed,holy see,march
121,there are 1 new confirmed cases in holy see .,new confirmed,holy see,march
122,there are 1 new cases in holy see .,new confirmed,holy see,march
123,there are 0 new confirmed cases in honduras in january.,new confirmed,honduras,january
124,there are 0 new cases in honduras in january.,new confirmed,honduras,january
125,there are 0 new confirmed cases in honduras in february.,new confirmed,honduras,february
126,there are 0 new cases in honduras in february.,new confirmed,honduras,february
127,there are 24 new confirmed cases in honduras in march.,new confirmed,honduras,march
128,there are 24 new cases in honduras in march.,new confirmed,honduras,march
129,there are 24 new confirmed cases in honduras .,new confirmed,honduras,march
130,there are 24 new cases in honduras .,new confirmed,honduras,march
131,there are 0 new confirmed cases in hungary in january.,new confirmed,hungary,january
132,there are 0 new cases in hungary in january.,new confirmed,hungary,january
133,there are 0 new confirmed cases in hungary in february.,new confirmed,hungary,february
134,there are 0 new cases in hungary in february.,new confirmed,hungary,february
135,there are 103 new confirmed cases in hungary in march.,new confirmed,hungary,march
136,there are 103 new cases in hungary in march.,new confirmed,hungary,march
137,there are 103 new confirmed cases in hungary .,new confirmed,hungary,march
138,there are 103 new cases in hungary .,new confirmed,hungary,march
139,there are 0 new confirmed cases in iceland in january.,new confirmed,iceland,january
140,there are 0 new cases in iceland in january.,new confirmed,iceland,january
141,there are 1 new confirmed cases in iceland in february.,new confirmed,iceland,february
142,there are 1 new cases in iceland in february.,new confirmed,iceland,february
143,there are 472 new confirmed cases in iceland in march.,new confirmed,iceland,march
144,there are 472 new cases in iceland in march.,new confirmed,iceland,march
145,there are 472 new confirmed cases in iceland .,new confirmed,iceland,march
146,there are 472 new cases in iceland .,new confirmed,iceland,march
147,there are 1 new confirmed cases in india in january.,new confirmed,india,january
148,there are 1 new cases in india in january.,new confirmed,india,january
149,there are 2 new confirmed cases in india in february.,new confirmed,india,february
150,there are 2 new cases in india in february.,new confirmed,india,february
151,there are 327 new confirmed cases in india in march.,new confirmed,india,march
152,there are 327 new cases in india in march.,new confirmed,india,march
153,there are 327 new confirmed cases in india .,new confirmed,india,march
154,there are 327 new cases in india .,new confirmed,india,march
155,there are 0 new confirmed cases in indonesia in january.,new confirmed,indonesia,january
156,there are 0 new cases in indonesia in january.,new confirmed,indonesia,january
157,there are 0 new confirmed cases in indonesia in february.,new confirmed,indonesia,february
158,there are 0 new cases in indonesia in february.,new confirmed,indonesia,february
159,there are 450 new confirmed cases in indonesia in march.,new confirmed,indonesia,march
160,there are 450 new cases in indonesia in march.,new confirmed,indonesia,march
161,there are 450 new confirmed cases in indonesia .,new confirmed,indonesia,march
162,there are 450 new cases in indonesia .,new confirmed,indonesia,march
163,there are 0 new confirmed cases in iran in january.,new confirmed,iran,january
164,there are 0 new cases in iran in january.,new confirmed,iran,january
165,there are 593 new confirmed cases in iran in february.,new confirmed,iran,february
166,there are 593 new cases in iran in february.,new confirmed,iran,february
167,there are 20017 new confirmed cases in iran in march.,new confirmed,iran,march
168,there are 20017 new cases in iran in march.,new confirmed,iran,march
169,there are 20017 new confirmed cases in iran .,new confirmed,iran,march
170,there are 20017 new cases in iran .,new confirmed,iran,march
171,there are 0 new confirmed cases in iraq in january.,new confirmed,iraq,january
172,there are 0 new cases in iraq in january.,new confirmed,iraq,january
173,there are 13 new confirmed cases in iraq in february.,new confirmed,iraq,february
174,there are 13 new cases in iraq in february.,new confirmed,iraq,february
175,there are 201 new confirmed cases in iraq in march.,new confirmed,iraq,march
176,there are 201 new cases in iraq in march.,new confirmed,iraq,march
177,there are 201 new confirmed cases in iraq .,new confirmed,iraq,march
178,there are 201 new cases in iraq .,new confirmed,iraq,march
179,there are 0 new confirmed cases in ireland in january.,new confirmed,ireland,january
180,there are 0 new cases in ireland in january.,new confirmed,ireland,january
181,there are 1 new confirmed cases in ireland in february.,new confirmed,ireland,february
182,there are 1 new cases in ireland in february.,new confirmed,ireland,february
183,there are 784 new confirmed cases in ireland in march.,new confirmed,ireland,march
184,there are 784 new cases in ireland in march.,new confirmed,ireland,march
185,there are 784 new confirmed cases in ireland .,new confirmed,ireland,march
186,there are 784 new cases in ireland .,new confirmed,ireland,march
187,there are 0 new confirmed cases in israel in january.,new confirmed,israel,january
188,there are 0 new cases in israel in january.,new confirmed,israel,january
189,there are 7 new confirmed cases in israel in february.,new confirmed,israel,february
190,there are 7 new cases in israel in february.,new confirmed,israel,february
191,there are 876 new confirmed cases in israel in march.,new confirmed,israel,march
192,there are 876 new cases in israel in march.,new confirmed,israel,march
193,there are 876 new confirmed cases in israel .,new confirmed,israel,march
194,there are 876 new cases in israel .,new confirmed,israel,march
195,there are 2 new confirmed cases in italy in january.,new confirmed,italy,january
196,there are 2 new cases in italy in january.,new confirmed,italy,january
197,there are 1126 new confirmed cases in italy in february.,new confirmed,italy,february
198,there are 1126 new cases in italy in february.,new confirmed,italy,february
199,there are 52450 new confirmed cases in italy in march.,new confirmed,italy,march
200,there are 52450 new cases in italy in march.,new confirmed,italy,march
201,there are 52450 new confirmed cases in italy .,new confirmed,italy,march
202,there are 52450 new cases in italy .,new confirmed,italy,march
203,there are 0 new confirmed cases in jamaica in january.,new confirmed,jamaica,january
204,there are 0 new cases in jamaica in january.,new confirmed,jamaica,january
205,there are 0 new confirmed cases in jamaica in february.,new confirmed,jamaica,february
206,there are 0 new cases in jamaica in february.,new confirmed,jamaica,february
207,there are 16 new confirmed cases in jamaica in march.,new confirmed,jamaica,march
208,there are 16 new cases in jamaica in march.,new confirmed,jamaica,march
209,there are 16 new confirmed cases in jamaica .,new confirmed,jamaica,march
210,there are 16 new cases in jamaica .,new confirmed,jamaica,march
211,there are 15 new confirmed cases in japan in january.,new confirmed,japan,january
212,there are 15 new cases in japan in january.,new confirmed,japan,january
213,there are 226 new confirmed cases in japan in february.,new confirmed,japan,february
214,there are 226 new cases in japan in february.,new confirmed,japan,february
215,there are 766 new confirmed cases in japan in march.,new confirmed,japan,march
216,there are 766 new cases in japan in march.,new confirmed,japan,march
217,there are 766 new confirmed cases in japan .,new confirmed,japan,march
218,there are 766 new cases in japan .,new confirmed,japan,march
219,there are 0 new confirmed cases in jordan in january.,new confirmed,jordan,january
220,there are 0 new cases in jordan in january.,new confirmed,jordan,january
221,there are 0 new confirmed cases in jordan in february.,new confirmed,jordan,february
222,there are 0 new cases in jordan in february.,new confirmed,jordan,february
223,there are 85 new confirmed cases in jordan in march.,new confirmed,jordan,march
224,there are 85 new cases in jordan in march.,new confirmed,jordan,march
225,there are 85 new confirmed cases in jordan .,new confirmed,jordan,march
226,there are 85 new cases in jordan .,new confirmed,jordan,march
227,there are 0 new confirmed cases in kazakhstan in january.,new confirmed,kazakhstan,january
228,there are 0 new cases in kazakhstan in january.,new confirmed,kazakhstan,january
229,there are 0 new confirmed cases in kazakhstan in february.,new confirmed,kazakhstan,february
230,there are 0 new cases in kazakhstan in february.,new confirmed,kazakhstan,february
231,there are 53 new confirmed cases in kazakhstan in march.,new confirmed,kazakhstan,march
232,there are 53 new cases in kazakhstan in march.,new confirmed,kazakhstan,march
233,there are 53 new confirmed cases in kazakhstan .,new confirmed,kazakhstan,march
234,there are 53 new cases in kazakhstan .,new confirmed,kazakhstan,march
235,there are 0 new confirmed cases in kenya in january.,new confirmed,kenya,january
236,there are 0 new cases in kenya in january.,new confirmed,kenya,january
237,there are 0 new confirmed cases in kenya in february.,new confirmed,kenya,february
238,there are 0 new cases in kenya in february.,new confirmed,kenya,february
239,there are 7 new confirmed cases in kenya in march.,new confirmed,kenya,march
240,there are 7 new cases in kenya in march.,new confirmed,kenya,march
241,there are 7 new confirmed cases in kenya .,new confirmed,kenya,march
242,there are 7 new cases in kenya .,new confirmed,kenya,march
243,"there are 11 new confirmed cases in korea, south in january.",new confirmed,"korea, south",january
244,"there are 11 new cases in korea, south in january.",new confirmed,"korea, south",january
245,"there are 3139 new confirmed cases in korea, south in february.",new confirmed,"korea, south",february
246,"there are 3139 new cases in korea, south in february.",new confirmed,"korea, south",february
247,"there are 5649 new confirmed cases in korea, south in march.",new confirmed,"korea, south",march
248,"there are 5649 new cases in korea, south in march.",new confirmed,"korea, south",march
249,"there are 5649 new confirmed cases in korea, south .",new confirmed,"korea, south",march
250,"there are 5649 new cases in korea, south .",new confirmed,"korea, south",march
251,there are 0 new confirmed cases in kosovo in january.,new confirmed,kosovo,january
252,there are 0 new cases in kosovo in january.,new confirmed,kosovo,january
253,there are 0 new confirmed cases in kosovo in february.,new confirmed,kosovo,february
254,there are 0 new cases in kosovo in february.,new confirmed,kosovo,february
255,there are 2 new confirmed cases in kosovo in march.,new confirmed,kosovo,march
256,there are 2 new cases in kosovo in march.,new confirmed,kosovo,march
257,there are 2 new confirmed cases in kosovo .,new confirmed,kosovo,march
258,there are 2 new cases in kosovo .,new confirmed,kosovo,march
259,there are 0 new confirmed cases in kuwait in january.,new confirmed,kuwait,january
260,there are 0 new cases in kuwait in january.,new confirmed,kuwait,january
261,there are 45 new confirmed cases in kuwait in february.,new confirmed,kuwait,february
262,there are 45 new cases in kuwait in february.,new confirmed,kuwait,february
263,there are 131 new confirmed cases in kuwait in march.,new confirmed,kuwait,march
264,there are 131 new cases in kuwait in march.,new confirmed,kuwait,march
265,there are 131 new confirmed cases in kuwait .,new confirmed,kuwait,march
266,there are 131 new cases in kuwait .,new confirmed,kuwait,march
267,there are 0 new confirmed cases in latvia in january.,new confirmed,latvia,january
268,there are 0 new cases in latvia in january.,new confirmed,latvia,january
269,there are 0 new confirmed cases in latvia in february.,new confirmed,latvia,february
270,there are 0 new cases in latvia in february.,new confirmed,latvia,february
271,there are 124 new confirmed cases in latvia in march.,new confirmed,latvia,march
272,there are 124 new cases in latvia in march.,new confirmed,latvia,march
273,there are 124 new confirmed cases in latvia .,new confirmed,latvia,march
274,there are 124 new cases in latvia .,new confirmed,latvia,march
275,there are 0 new confirmed cases in lebanon in january.,new confirmed,lebanon,january
276,there are 0 new cases in lebanon in january.,new confirmed,lebanon,january
277,there are 4 new confirmed cases in lebanon in february.,new confirmed,lebanon,february
278,there are 4 new cases in lebanon in february.,new confirmed,lebanon,february
279,there are 183 new confirmed cases in lebanon in march.,new confirmed,lebanon,march
280,there are 183 new cases in lebanon in march.,new confirmed,lebanon,march
281,there are 183 new confirmed cases in lebanon .,new confirmed,lebanon,march
282,there are 183 new cases in lebanon .,new confirmed,lebanon,march
283,there are 0 new confirmed cases in liberia in january.,new confirmed,liberia,january
284,there are 0 new cases in liberia in january.,new confirmed,liberia,january
285,there are 0 new confirmed cases in liberia in february.,new confirmed,liberia,february
286,there are 0 new cases in liberia in february.,new confirmed,liberia,february
287,there are 3 new confirmed cases in liberia in march.,new confirmed,liberia,march
288,there are 3 new cases in liberia in march.,new confirmed,liberia,march
289,there are 3 new confirmed cases in liberia .,new confirmed,liberia,march
290,there are 3 new cases in liberia .,new confirmed,liberia,march
291,there are 0 new confirmed cases in liechtenstein in january.,new confirmed,liechtenstein,january
292,there are 0 new cases in liechtenstein in january.,new confirmed,liechtenstein,january
293,there are 0 new confirmed cases in liechtenstein in february.,new confirmed,liechtenstein,february
294,there are 0 new cases in liechtenstein in february.,new confirmed,liechtenstein,february
295,there are 37 new confirmed cases in liechtenstein in march.,new confirmed,liechtenstein,march
296,there are 37 new cases in liechtenstein in march.,new confirmed,liechtenstein,march
297,there are 37 new confirmed cases in liechtenstein .,new confirmed,liechtenstein,march
298,there are 37 new cases in liechtenstein .,new confirmed,liechtenstein,march
299,there are 0 new confirmed cases in lithuania in january.,new confirmed,lithuania,january
300,there are 0 new cases in lithuania in january.,new confirmed,lithuania,january
301,there are 1 new confirmed cases in lithuania in february.,new confirmed,lithuania,february
302,there are 1 new cases in lithuania in february.,new confirmed,lithuania,february
303,there are 82 new confirmed cases in lithuania in march.,new confirmed,lithuania,march
304,there are 82 new cases in lithuania in march.,new confirmed,lithuania,march
305,there are 82 new confirmed cases in lithuania .,new confirmed,lithuania,march
306,there are 82 new cases in lithuania .,new confirmed,lithuania,march
307,there are 0 new confirmed cases in luxembourg in january.,new confirmed,luxembourg,january
308,there are 0 new cases in luxembourg in january.,new confirmed,luxembourg,january
309,there are 1 new confirmed cases in luxembourg in february.,new confirmed,luxembourg,february
310,there are 1 new cases in luxembourg in february.,new confirmed,luxembourg,february
311,there are 669 new confirmed cases in luxembourg in march.,new confirmed,luxembourg,march
312,there are 669 new cases in luxembourg in march.,new confirmed,luxembourg,march
313,there are 669 new confirmed cases in luxembourg .,new confirmed,luxembourg,march
314,there are 669 new cases in luxembourg .,new confirmed,luxembourg,march
315,there are 8 new confirmed cases in malaysia in january.,new confirmed,malaysia,january
316,there are 8 new cases in malaysia in january.,new confirmed,malaysia,january
317,there are 17 new confirmed cases in malaysia in february.,new confirmed,malaysia,february
318,there are 17 new cases in malaysia in february.,new confirmed,malaysia,february
319,there are 1158 new confirmed cases in malaysia in march.,new confirmed,malaysia,march
320,there are 1158 new cases in malaysia in march.,new confirmed,malaysia,march
321,there are 1158 new confirmed cases in malaysia .,new confirmed,malaysia,march
322,there are 1158 new cases in malaysia .,new confirmed,malaysia,march
323,there are 0 new confirmed cases in maldives in january.,new confirmed,maldives,january
324,there are 0 new cases in maldives in january.,new confirmed,maldives,january
325,there are 0 new confirmed cases in maldives in february.,new confirmed,maldives,february
326,there are 0 new cases in maldives in february.,new confirmed,maldives,february
327,there are 13 new confirmed cases in maldives in march.,new confirmed,maldives,march
328,there are 13 new cases in maldives in march.,new confirmed,maldives,march
329,there are 13 new confirmed cases in maldives .,new confirmed,maldives,march
330,there are 13 new cases in maldives .,new confirmed,maldives,march
331,there are 0 new confirmed cases in malta in january.,new confirmed,malta,january
332,there are 0 new cases in malta in january.,new confirmed,malta,january
333,there are 0 new confirmed cases in malta in february.,new confirmed,malta,february
334,there are 0 new cases in malta in february.,new confirmed,malta,february
335,there are 73 new confirmed cases in malta in march.,new confirmed,malta,march
336,there are 73 new cases in malta in march.,new confirmed,malta,march
337,there are 73 new confirmed cases in malta .,new confirmed,malta,march
338,there are 73 new cases in malta .,new confirmed,malta,march
339,there are 0 new confirmed cases in martinique in january.,new confirmed,martinique,january
340,there are 0 new cases in martinique in january.,new confirmed,martinique,january
341,there are 0 new confirmed cases in martinique in february.,new confirmed,martinique,february
342,there are 0 new cases in martinique in february.,new confirmed,martinique,february
343,there are 32 new confirmed cases in martinique in march.,new confirmed,martinique,march
344,there are 32 new cases in martinique in march.,new confirmed,martinique,march
345,there are 32 new confirmed cases in martinique .,new confirmed,martinique,march
346,there are 32 new cases in martinique .,new confirmed,martinique,march
347,there are 0 new confirmed cases in mauritania in january.,new confirmed,mauritania,january
348,there are 0 new cases in mauritania in january.,new confirmed,mauritania,january
349,there are 0 new confirmed cases in mauritania in february.,new confirmed,mauritania,february
350,there are 0 new cases in mauritania in february.,new confirmed,mauritania,february
351,there are 2 new confirmed cases in mauritania in march.,new confirmed,mauritania,march
352,there are 2 new cases in mauritania in march.,new confirmed,mauritania,march
353,there are 2 new confirmed cases in mauritania .,new confirmed,mauritania,march
354,there are 2 new cases in mauritania .,new confirmed,mauritania,march
355,there are 0 new confirmed cases in mexico in january.,new confirmed,mexico,january
356,there are 0 new cases in mexico in january.,new confirmed,mexico,january
357,there are 4 new confirmed cases in mexico in february.,new confirmed,mexico,february
358,there are 4 new cases in mexico in february.,new confirmed,mexico,february
359,there are 199 new confirmed cases in mexico in march.,new confirmed,mexico,march
360,there are 199 new cases in mexico in march.,new confirmed,mexico,march
361,there are 199 new confirmed cases in mexico .,new confirmed,mexico,march
362,there are 199 new cases in mexico .,new confirmed,mexico,march
363,there are 0 new confirmed cases in moldova in january.,new confirmed,moldova,january
364,there are 0 new cases in moldova in january.,new confirmed,moldova,january
365,there are 0 new confirmed cases in moldova in february.,new confirmed,moldova,february
366,there are 0 new cases in moldova in february.,new confirmed,moldova,february
367,there are 80 new confirmed cases in moldova in march.,new confirmed,moldova,march
368,there are 80 new cases in moldova in march.,new confirmed,moldova,march
369,there are 80 new confirmed cases in moldova .,new confirmed,moldova,march
370,there are 80 new cases in moldova .,new confirmed,moldova,march
371,there are 0 new confirmed cases in monaco in january.,new confirmed,monaco,january
372,there are 0 new cases in monaco in january.,new confirmed,monaco,january
373,there are 1 new confirmed cases in monaco in february.,new confirmed,monaco,february
374,there are 1 new cases in monaco in february.,new confirmed,monaco,february
375,there are 10 new confirmed cases in monaco in march.,new confirmed,monaco,march
376,there are 10 new cases in monaco in march.,new confirmed,monaco,march
377,there are 10 new confirmed cases in monaco .,new confirmed,monaco,march
378,there are 10 new cases in monaco .,new confirmed,monaco,march
379,there are 0 new confirmed cases in mongolia in january.,new confirmed,mongolia,january
380,there are 0 new cases in mongolia in january.,new confirmed,mongolia,january
381,there are 0 new confirmed cases in mongolia in february.,new confirmed,mongolia,february
382,there are 0 new cases in mongolia in february.,new confirmed,mongolia,february
383,there are 10 new confirmed cases in mongolia in march.,new confirmed,mongolia,march
384,there are 10 new cases in mongolia in march.,new confirmed,mongolia,march
385,there are 10 new confirmed cases in mongolia .,new confirmed,mongolia,march
386,there are 10 new cases in mongolia .,new confirmed,mongolia,march
387,there are 0 new confirmed cases in morocco in january.,new confirmed,morocco,january
388,there are 0 new cases in morocco in january.,new confirmed,morocco,january
389,there are 0 new confirmed cases in morocco in february.,new confirmed,morocco,february
390,there are 0 new cases in morocco in february.,new confirmed,morocco,february
391,there are 96 new confirmed cases in morocco in march.,new confirmed,morocco,march
392,there are 96 new cases in morocco in march.,new confirmed,morocco,march
393,there are 96 new confirmed cases in morocco .,new confirmed,morocco,march
394,there are 96 new cases in morocco .,new confirmed,morocco,march
395,there are 0 new confirmed cases in namibia in january.,new confirmed,namibia,january
396,there are 0 new cases in namibia in january.,new confirmed,namibia,january
397,there are 0 new confirmed cases in namibia in february.,new confirmed,namibia,february
398,there are 0 new cases in namibia in february.,new confirmed,namibia,february
399,there are 3 new confirmed cases in namibia in march.,new confirmed,namibia,march
400,there are 3 new cases in namibia in march.,new confirmed,namibia,march
401,there are 3 new confirmed cases in namibia .,new confirmed,namibia,march
402,there are 3 new cases in namibia .,new confirmed,namibia,march
403,there are 1 new confirmed cases in nepal in january.,new confirmed,nepal,january
404,there are 1 new cases in nepal in january.,new confirmed,nepal,january
405,there are 0 new confirmed cases in nepal in february.,new confirmed,nepal,february
406,there are 0 new cases in nepal in february.,new confirmed,nepal,february
407,there are 0 new confirmed cases in nepal in march.,new confirmed,nepal,march
408,there are 0 new cases in nepal in march.,new confirmed,nepal,march
409,there are 0 new confirmed cases in nepal .,new confirmed,nepal,march
410,there are 0 new cases in nepal .,new confirmed,nepal,march
411,there are 0 new confirmed cases in netherlands in january.,new confirmed,netherlands,january
412,there are 0 new cases in netherlands in january.,new confirmed,netherlands,january
413,there are 6 new confirmed cases in netherlands in february.,new confirmed,netherlands,february
414,there are 6 new cases in netherlands in february.,new confirmed,netherlands,february
415,there are 3634 new confirmed cases in netherlands in march.,new confirmed,netherlands,march
416,there are 3634 new cases in netherlands in march.,new confirmed,netherlands,march
417,there are 3634 new confirmed cases in netherlands .,new confirmed,netherlands,march
418,there are 3634 new cases in netherlands .,new confirmed,netherlands,march
419,there are 0 new confirmed cases in new zealand in january.,new confirmed,new zealand,january
420,there are 0 new cases in new zealand in january.,new confirmed,new zealand,january
421,there are 1 new confirmed cases in new zealand in february.,new confirmed,new zealand,february
422,there are 1 new cases in new zealand in february.,new confirmed,new zealand,february
423,there are 51 new confirmed cases in new zealand in march.,new confirmed,new zealand,march
424,there are 51 new cases in new zealand in march.,new confirmed,new zealand,march
425,there are 51 new confirmed cases in new zealand .,new confirmed,new zealand,march
426,there are 51 new cases in new zealand .,new confirmed,new zealand,march
427,there are 0 new confirmed cases in nigeria in january.,new confirmed,nigeria,january
428,there are 0 new cases in nigeria in january.,new confirmed,nigeria,january
429,there are 1 new confirmed cases in nigeria in february.,new confirmed,nigeria,february
430,there are 1 new cases in nigeria in february.,new confirmed,nigeria,february
431,there are 21 new confirmed cases in nigeria in march.,new confirmed,nigeria,march
432,there are 21 new cases in nigeria in march.,new confirmed,nigeria,march
